REDE;MAC_ADDRESS;POWER;LATITUDE;LONGITUDE
Wi-Fi UFPE;20:b3:99:17:cc:aa;-90;-8.05412;-34.95449
Wi-Fi UFPE;20:b3:99:17:cc:aa;-85;-8.05416;-34.95446
Wi-Fi UFPE;20:b3:99:17:cc:aa;-70;-8.05421;-34.95447
Wi-Fi UFPE;20:b3:99:17:e4:4a;-64;-8.05421;-34.95447
Wi-Fi UFPE;20:b3:99:17:cc:aa;-78;-8.05426;-34.95448
Wi-Fi UFPE;20:b3:99:17:e4:4a;-48;-8.05426;-34.95448
Wi-Fi UFPE;20:b3:99:17:e4:5a;-62;-8.05426;-34.95448
Wi-Fi UFPE;20:b3:99:17:e4:4a;-72;-8.05431;-34.95447
Wi-Fi UFPE;20:b3:99:17:e4:5a;-58;-8.05431;-34.95447
Wi-Fi UFPE;20:b3:99:17:e4:4a;-70;-8.05432;-34.95439
Wi-Fi UFPE;20:b3:99:17:e4:5a;-62;-8.05432;-34.95439
Wi-Fi UFPE;20:b3:99:17:e4:4a;-67;-8.05437;-34.9543
Wi-Fi UFPE;20:b3:99:17:e4:4a;-71;-8.05437;-34.9543
Wi-Fi UFPE;20:b3:99:17:e4:4a;-62;-8.05437;-34.9543
Wi-Fi UFPE;20:b3:99:17:e4:5a;-69;-8.05437;-34.9543
Wi-Fi UFPE;20:b3:99:17:e4:4a;-59;-8.05434;-34.95434
Wi-Fi UFPE;20:b3:99:17:cc:aa;-60;-8.05434;-34.95434
Wi-Fi UFPE;20:b3:99:17:e6:0a;-75;-8.05434;-34.95434
Wi-Fi UFPE;20:b3:99:17:e4:4a;-77;-8.0543;-34.95432
Wi-Fi UFPE;20:b3:99:17:cc:aa;-52;-8.0543;-34.95432
Wi-Fi UFPE;20:b3:99:17:e4:4a;-76;-8.05426;-34.95429
Wi-Fi UFPE;20:b3:99:17:cc:aa;-78;-8.05426;-34.95429
Wi-Fi UFPE;20:b3:99:17:e9:8a;-95;-8.05426;-34.95429
Wi-Fi UFPE;20:b3:99:17:44:da;-78;-8.0534;-34.9547
Wi-Fi UFPE;20:b3:99:17:44:da;-78;-8.05326;-34.95462
